ndc,moldb_smiles
51079058106,[H]C(=O)N1C(CNC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)CNC2=C1C(=O)NC(N)=N2
3196501,CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O
378504191,CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O
3196401,CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O
51079093820,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1CCCO1
51079093620,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1CCCO1
74380511,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1CCCO1
904565261,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1CCCO1
904612861,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1CCCO1
59762153005,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC
69152068,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC
904636961,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC
69153041,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC
68084025901,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC
51079045120,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC
51079045020,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC
51079077120,COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2
51079093020,COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2
904630261,COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2
51079093120,COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2
7413920,COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2
59572030101,N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O
45963068602,N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O
52609300100,N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O
173013093,N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O
25021022160,N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O
59572030250,N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O
67457021501,N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O
67457019501,N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O
42023014901,N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O
67457022102,CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
54855025,CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
55390003110,CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
55390003310,CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
